0x123 == DefaultDiscoveryPeer{id=0x123, endpoint=Endpoint{host='127.0.0.1', udpPort=1}, status=known, firstDiscovered=0, lastContacted=0, lastSeen=1}
0x456 == DefaultDiscoveryPeer{id=0x456, endpoint=Endpoint{host='127.0.0.2', udpPort=1}, status=known, firstDiscovered=0, lastContacted=0, lastSeen=2}
0x789 == DefaultDiscoveryPeer{id=0x789, endpoint=Endpoint{host='127.0.0.3', udpPort=1}, status=known, firstDiscovered=0, lastContacted=0, lastSeen=3}
0x101 == DefaultDiscoveryPeer{id=0x101, endpoint=Endpoint{host='127.0.0.4', udpPort=1}, status=known, firstDiscovered=0, lastContacted=0, lastSeen=4}
0x112 == DefaultDiscoveryPeer{id=0x112, endpoint=Endpoint{host='127.0.0.5', udpPort=1}, status=known, firstDiscovered=0, lastContacted=0, lastSeen=5}
0x131 == DefaultDiscoveryPeer{id=0x131, endpoint=Endpoint{host='127.0.0.6', udpPort=1}, status=known, firstDiscovered=0, lastContacted=0, lastSeen=6}
0x415 == DefaultDiscoveryPeer{id=0x415, endpoint=Endpoint{host='127.0.0.7', udpPort=1}, status=known, firstDiscovered=0, lastContacted=0, lastSeen=7}
0x161 == DefaultDiscoveryPeer{id=0x161, endpoint=Endpoint{host='127.0.0.8', udpPort=1}, status=known, firstDiscovered=0, lastContacted=0, lastSeen=8}
0x718 == DefaultDiscoveryPeer{id=0x718, endpoint=Endpoint{host='127.0.0.9', udpPort=1}, status=known, firstDiscovered=0, lastContacted=0, lastSeen=9}
0x192 == DefaultDiscoveryPeer{id=0x192, endpoint=Endpoint{host='127.0.0.10', udpPort=1}, status=known, firstDiscovered=0, lastContacted=0, lastSeen=10}
0x212 == DefaultDiscoveryPeer{id=0x212, endpoint=Endpoint{host='127.0.0.11', udpPort=1}, status=known, firstDiscovered=0, lastContacted=0, lastSeen=11}
0x223 == DefaultDiscoveryPeer{id=0x223, endpoint=Endpoint{host='127.0.0.12', udpPort=1}, status=known, firstDiscovered=0, lastContacted=0, lastSeen=12}
0x242 == DefaultDiscoveryPeer{id=0x242, endpoint=Endpoint{host='127.0.0.13', udpPort=1}, status=known, firstDiscovered=0, lastContacted=0, lastSeen=13}
0x526 == DefaultDiscoveryPeer{id=0x526, endpoint=Endpoint{host='127.0.0.14', udpPort=1}, status=known, firstDiscovered=0, lastContacted=0, lastSeen=14}
0x272 == DefaultDiscoveryPeer{id=0x272, endpoint=Endpoint{host='127.0.0.15', udpPort=1}, status=known, firstDiscovered=0, lastContacted=0, lastSeen=15}
0x829 == DefaultDiscoveryPeer{id=0x829, endpoint=Endpoint{host='127.0.0.16', udpPort=1}, status=known, firstDiscovered=0, lastContacted=0, lastSeen=16}
